Sample,ID,Total_dried,Beaker,Beaker_mass,DM_sample_mass,Post_Dry_wbeaker,Post_Ash_wbeaker,DM,Ash,Fibre_bag_mass,Fiber_sample_mass,Fibre_bag_sample_mass,Post_NDF_wbag,NDF_AI,Post_ADF_wbag,ADF_AI,Post_ADL_wbag,ADL_AI,CP_sample_mass,"CP_Tray,Loc",CP_AI,C_AI,NDF_F,ADF_F,ADL_F,CP_F,C_F
E1A_22-03-02,93,40.88,,29.4305,5.4264,34.528,29.7651,0.939388913,0.061661507,0.5038,0.5404,1.044,0.9304,0.789415248,0.779,0.509252406,0.558,0.100296077,0.0989,"2,E3",8.002,48.07,84.034976,54.21102999,10.67673628,8.518303639,51.1715641
E15_22-02-11,94,73.17,,29.3189,5.5578,34.6188,29.6079,0.953596747,0.051998992,0.5127,0.7181,1.2321,1.1192,0.84458989,0.8934,0.530149004,0.5919,0.110291046,0.1,"2,E4",5.357,49.03,88.56887282,55.59467417,11.5657951,5.61767856,51.41586332
E13_22-02-17,95,46.88,,29.593,5.5662,34.7758,29.8681,0.931119974,0.049423305,0.5109,0.6913,1.2006,1.0496,0.779256473,0.845,0.483292348,0.6015,0.131057428,0.0964,"2,E5",8.751,49.63,83.69023273,51.90441202,14.07524612,9.398359227,53.30140194
E15_22-03-12,96,37.39,,28.7395,5.8156,34.21,29.0709,0.940659605,0.056984662,0.4999,0.5358,1.0365,0.8931,0.733855916,0.7407,0.449421426,0.5571,0.106756252,0.1097,"2,E6",11.36,48.83,78.01503459,47.77726432,11.34908438,12.07663212,51.9103826
E16_22-03-10,97,47.62,,29.3518,5.3849,34.3804,29.6783,0.933833497,0.060632509,0.5168,0.514,1.0309,0.922,0.788326848,0.7825,0.51692607,0.5704,0.104280156,0.1017,"2,E7",8.51,48.39,84.41835193,55.35527174,11.16688959,9.112973591,51.81865947
E13_22-02-23,98,32.59,,28.6469,5.5259,33.8179,28.9688,0.935775168,0.058252954,0.5077,0.6043,1.1117,0.9867,0.792652656,0.7943,0.474267748,0.5628,0.091179878,0.0976,"2,E8",7.912,48.13,84.70545952,50.68180521,9.743780416,8.455022394,51.43329472
E16_22-03-06,99,49.2,,31.21,5.9854,36.9532,31.684,0.959534868,0.079192702,0.5118,0.5182,1.0293,0.9378,0.822076418,0.76,0.47896565,0.5568,0.086839058,0.1083,"2,E9",5.669,48.25,85.67447058,49.91644037,9.050120132,5.908070866,50.28478026
E2B_22-03-02,100,86.4,,31.3913,4.9819,35.9198,31.4745,0.908990546,0.016700456,0.5056,0.6188,1.1251,1.042,0.866839043,0.8204,0.508726568,0.5592,0.086619263,0.0973,"2,E10",4.182,48.2,95.36282279,55.96610107,9.529170957,4.600707917,53.02585404
E13_23-02-19,F1,47.5,3,22.0127,4.2726,25.9909,,0.93109582,,0.5638,0.5678,1.1276,1.0218,0.80662205,0.8282,0.465656921,0.6061,0.074498063,0.0985,B6,7.3626,51.6,86.63147582,50.01170787,8.001116653,7.90745683,55.41857121
E4D_23-02-13,F10,58.8,6,22.9635,5.0466,27.6522,,0.929080965,,0.5659,0.4663,1.0283,0.9136,0.745657302,0.7649,0.426763886,0.6032,0.079991422,0.0996,C6,9.1006,51.5,80.25751575,45.93398227,8.609736375,9.795271175,55.43112163
E4D_23-02-09,F11,128.7,153,28.7338,4.8212,33.2063,,0.927673608,,0.5643,0.6624,1.2186,1.1081,0.820954106,0.8857,0.485205314,0.6145,0.075785024,0.0931,C1,5.0587,51.8,88.49600754,52.30345131,8.169362962,5.453103285,55.83860481
