Date,Time,TimeStamp,Temp_unit,Temp
2022-02-17,3:10:00,PM,C,-5.5
2022-02-17,4:10:00,PM,C,-5.5
2022-02-17,5:10:00,PM,C,-5.5
2022-02-17,6:10:00,PM,C,-5.5
2022-02-17,7:10:00,PM,C,-5.5
2022-02-17,8:10:00,PM,C,-5.5
2022-02-17,9:10:00,PM,C,-5.5
2022-02-17,10:10:00,PM,C,-5.5
2022-02-17,11:10:00,PM,C,-5.5
2022-02-18,12:10:00,AM,C,-5.5
2022-02-18,1:10:00,AM,C,-5.5
2022-02-18,2:10:00,AM,C,-5.5
2022-02-18,3:10:00,AM,C,-5.5
2022-02-18,4:10:00,AM,C,-6
2022-02-18,5:10:00,AM,C,-6
2022-02-18,6:10:00,AM,C,-6
2022-02-18,7:10:00,AM,C,-6
2022-02-18,8:10:00,AM,C,-6
2022-02-18,9:10:00,AM,C,-6
2022-02-18,10:10:00,AM,C,-6
2022-02-18,11:10:00,AM,C,-5
2022-02-18,12:10:00,PM,C,-4
2022-02-18,1:10:00,PM,C,-4
2022-02-18,2:10:00,PM,C,-3.5
2022-02-18,3:10:00,PM,C,-3
2022-02-18,4:10:00,PM,C,-2
2022-02-18,5:10:00,PM,C,-1
2022-02-18,6:10:00,PM,C,-0.5
2022-02-18,7:10:00,PM,C,-0.5
2022-02-18,8:10:00,PM,C,-1
2022-02-18,9:10:00,PM,C,-1
2022-02-18,10:10:00,PM,C,-1.5
2022-02-18,11:10:00,PM,C,-2
2022-02-19,12:10:00,AM,C,-2
2022-02-19,1:10:00,AM,C,-2.5
2022-02-19,2:10:00,AM,C,-2.5
2022-02-19,3:10:00,AM,C,-2.5
2022-02-19,4:10:00,AM,C,-3
2022-02-19,5:10:00,AM,C,-3
2022-02-19,6:10:00,AM,C,-3
2022-02-19,7:10:00,AM,C,-3
2022-02-19,8:10:00,AM,C,-3
2022-02-19,9:10:00,AM,C,-3.5
2022-02-19,10:10:00,AM,C,-3.5
2022-02-19,11:10:00,AM,C,-1.5
