Sample,ID,Beaker,Beaker_mass,DM_sample_mass,Post_Dry_wbeaker,DM
E4D_23-02-17,106,22,21.6564,4.9607,25.9386,86.32249481
E16_23-02-10,107,132,29.3555,2.9323,31.8795,86.07577669
E2B_23-02-19,108,108,29.0046,3.6783,32.1909,86.62425577
E2B_23-02-18,109,12,23.2172,3.078,25.8785,86.4619883
E2B_23-02-14,110,122,29.174,5.9385,34.2737,85.87522102
E14_23-02-12,111,101,28.9529,4.65,32.9788,86.57849462
E15_23-02-04,112,19,21.9147,3.0994,24.5779,85.92630832
E1A_23-01-30,113,133,28.3492,3.3973,31.2663,85.86524593
E16_23-02-07,115,10,23.2251,2.6114,25.4673,85.86198974
E3C_23-02-09,116,121,28.9367,6.8558,34.8484,86.22917821
E3C_23-02-14,117,33,23.2816,3.439,26.2483,86.2663565
E14_23-02-02,118,26,22.3916,5.752,27.3516,86.23087622
,118,118,29.4203,6.3716,34.8843,85.75554021
E2B_23-02-08,119,119,28.8636,5.8794,33.9217,86.03088751
E2B_23-02-12,120,24,24.2666,3.5422,27.3076,85.85060132
E4D_23-02-13,121,38,22.2919,6.0295,27.4718,85.90927938
E3C_23-02-04,122,30,21.0976,4.7829,25.1444,84.60975559
E16_23-02-01,124,41,23.1197,5.5533,27.8745,85.62116219
E1A_23-02-08,125,24,24.266,5.0011,28.5682,86.02507448
E2B_23-02-04,126,21,23.37,4.3249,27.0904,86.02279821
E1A_23-02-14,127,2,21.9463,3.4083,24.887,86.28055042
E14_23-02-13,128,16,21.0561,3.7948,24.3547,86.92421208
E13_23-02-18,129,27,22.7055,4.3605,26.4608,86.1208577
E4D_23-02-18,130,23,24.395,4.0578,27.8857,86.02444674
E4D_23-02-09,131,7,21.9162,3.2984,24.7727,86.6025952
E15_23-02-03,133,6,22.9618,3.1067,25.6383,86.15250909
E2B_23-02-17,134,128,28.5016,5.3126,33.1337,87.19082935
E2B_07-02-23,135,102,29.9269,4.57,33.8691,86.26258206
E13_09-02-23,136,46,21.1832,4.8214,25.3533,86.49147551
E4D_23-02-07,137,13,23.2928,3.2361,26.0996,86.7340317
NA,139,134,,5.3002,33.5634,  
E14_23-02-08,140,40,22.7381,4.407,26.5404,86.27864761
E1A_23-01-29,141,9,23.5797,2.8196,26.0023,85.91998865
E15_23-02-05,143,8,21.562,3.9345,24.7969,82.2188334
E15_23-02-13,144,131,28.9625,3.2353,31.6302,82.4560319
E15_23-01-31,145,44,22.3336,4.5835,26.2658,85.7903349
E1A_23-02-10,146,42,24.1715,5.772,29.1626,86.47089397
E3C_23-02-19,147,45,23.1614,4.4929,27.032,86.14925772
E16_23-01-27,148,117,28.6728,4.1181,32.2061,85.79927637
E14_23-02-06,149,127,28.8204,6.2006,34.1538,86.01425668
E1A_23-02-13,150,28,23.1989,4.8552,27.3968,86.46193772
E15_23-02-10,151,31,23.3623,4.385,27.1417,86.18928164
E4D_23-02-08,152,18,22.4657,3.1873,25.2303,86.7379914
